"AUT","BEL","CAN","CHE","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HUN","ISR","ITA","JPN","KOR","LUX","MEX","NLD","NOR","PRT","SWE","USA"
64.4421642477181,65.9194049986809,49.6047153581818,84.5129543038391,70.9415373515632,66.2195934234494,56.8504761844182,71.4058334374666,73.0257432801805,68.2100432673769,39.9401384217305,14.0529878820171,27.176519866071,58.1565185750337,83.6219843776488,32.8375768506344,63.8239162656781,10.8674314547307,61.7722283746836,48.4015827329809,49.2522836816591,77.5138768351629,60.5535321980424
64.6530105400793,66.2398150358038,50.0735899529091,84.7396329015378,71.1160439820565,66.3514548266406,56.9329617558105,71.7967686345322,73.1474099114762,68.3549113166315,40.3367998746836,14.3034296085472,28.0587702472953,58.2193034966614,83.4456363610061,33.5866874954279,63.9604553223043,10.8504434089251,62.0124226805822,49.081351187014,49.8105010590961,77.3178293102945,60.6108468964344
65.7348729092414,66.307805669616,51.0851767356493,85.1562623174433,71.1295121786091,66.2287726478689,57.8817952809277,71.9923342272653,73.5419160553157,68.4253691578307,41.7244132157692,14.2967837419383,28.0909090336994,58.3178810568716,83.3510119969839,36.4050868272166,64.9521430293988,10.7299555070998,62.1611690811114,49.8346765558526,50.4739318821508,77.644815103076,60.8268072629622
66.0226172315624,66.4463844806019,50.8055868034328,85.6434798361079,71.3576863236277,66.5119723324121,58.1218048837075,71.8437816427506,73.3246571826702,68.3193562187337,42.2590856817015,14.5401378033341,27.970106112187,58.3693998514744,83.2887404647536,36.5470163577492,64.1379476733777,10.8859377096254,62.3334443804842,49.6174143088336,51.1138336441475,77.9482712373378,60.9810029333391
65.3310591216314,66.6382701995437,50.8855289323852,85.7556702641121,71.600661412808,66.6182877531887,58.6322308396122,72.130995118948,73.7544448271618,68.5773687576787,41.4777921509744,14.853849032569,27.8728755665594,58.7496908311841,83.660640731663,35.9071069967194,64.4054657678854,10.8255368294436,62.6890257409115,48.2969278743519,50.8788125731649,78.9200461772841,61.0317530140257
65.3071481973691,66.8360384844312,51.7478258703761,85.5855075161664,71.646577612061,66.4951917015469,58.2838329807181,72.3387969270211,73.993056154655,68.7853812588458,42.6053225569282,15.1087367847169,28.5374105559045,59.106452289172,83.729600956345,35.5348440270048,64.705336866234,9.09748922894727,62.6504900534154,48.1235012562263,51.1820264997527,79.0065271289848,61.3501501804306
65.5891314662013,67.104478098282,53.6295265817893,86.5522550421576,72.238520845339,66.8519803303271,58.4460134860291,72.6635336295058,74.114131543814,68.6613061831484,43.6591414796524,15.4865522594216,29.0173296978801,59.7617958974442,83.9983174082218,35.9763660246728,65.0829836200981,6.35801488808939,63.1917813176891,46.4804834169502,51.7301283349202,78.8205991802807,61.6108696512421
65.515232308498,67.1317413355965,54.9112254693648,86.6366495426684,71.9922285433825,66.9558277061069,58.6993705833343,72.5117997828685,74.111677430508,68.2078193461057,44.0276665124155,15.8820147888983,29.9707780073493,59.9406689775303,84.1317394865955,36.400240540188,65.2135716365017,6.65089365103319,63.3918965852981,46.3198156961128,52.0929360874884,79.005259733736,61.8510009293775
66.7858188008893,67.5293939899214,54.5237951046425,88.0477958126372,73.8702403144304,67.0916259713262,60.1816211157502,73.1418234080315,74.7754111211462,68.131000261629,45.1780816302126,16.469343475503,29.5876137180451,60.3775687117216,84.5198182828894,36.5844142929261,66.7394195309274,6.47784933474415,63.7752159824988,46.7759461515063,53.7336937613554,81.1677822375591,62.0796880809262
67.13425314321,67.7027051064939,53.9802965206984,88.5239780080274,74.3042969409577,66.7830518846039,60.5893887593697,73.2591671133981,74.9604877598005,68.3756700486622,46.3254048421269,16.7427399901417,29.5086973510196,60.5479229581538,84.9464770256081,36.4576600844007,66.0474827186669,6.53458480103568,63.9250067093964,47.9560717121492,54.6546195056468,81.0904632450175,62.3145248719694
67.0621974220461,67.9979088468181,52.4815979298065,88.5183623081852,74.3650755347748,66.819215334138,60.5683957062446,73.2120325967755,74.8969880576454,68.4424813194927,46.5167937317,16.7461724681243,29.3823665789815,60.7767106934417,84.6606405571792,36.3686515850403,66.2733122215578,6.58450266422541,63.7594025356429,48.6668846163548,54.1772841336102,81.2134289830967,62.3877241121124
67.1224945769889,68.246053758555,51.7711348572011,88.4274521387745,74.6376189333862,66.8730261248514,60.2121083391663,73.3031334661814,74.9540766719706,68.809292864977,46.6493598551344,16.8172521374318,29.626623331178,60.8760866677807,84.5453922714993,36.3943488504192,66.3579653560684,8.83736060892383,63.8379165644608,49.7453440767915,54.399948781005,81.4511007810096,62.5020998758762
67.2421642477181,68.3194049986809,50.8047153581818,88.6129543038391,74.7415373515632,67.2195934234494,60.3504761844182,73.6058334374666,75.0257432801805,68.9100432673769,47.2401384217305,16.9529878820171,29.776519866071,61.0565185750337,84.2219843776488,36.5375768506344,66.5239162656781,11.7674314547307,63.9722283746836,50.7015827329809,54.7522836816591,81.2138768351629,62.5535321980424
